id	op	ts	credit_used	card_id	card_number	monthly_limit	status
c1globalid	c	1577926800000	0.0	c1	11112222	30000.0	PENDING
c1globalid	u	1578159000000	0.0	c1	11112222	30000.0	ACTIVE
c1globalid	u	1578313800000	12000.0	c1	11112222	30000.0	ACTIVE
c1globalid	u	1578420000000	19000.0	c1	11112222	30000.0	ACTIVE
c1globalid	u	1578654000000	0.0	c1	11112222	30000.0	ACTIVE
c1globalid	u	1579078800000	0.0	c1	11112222	30000.0	CLOSED
c2globalid	c	1579163400000	0.0	c2	12123434	70000.0	PENDING
c2globalid	u	1579298400000	0.0	c2	12123434	70000.0	ACTIVE
c2globalid	u	1579361400000	37000.0	c2	12123434	70000.0	ACTIVE
id	op	ts	credit_used	card_id	card_number	monthly_limit	status
c1globalid	c	1577926800000	0.0	c1	11112222	30000.0	PENDING
c1globalid	u	1578159000000	0.0	c1	11112222	30000.0	ACTIVE
c1globalid	u	1578313800000	12000.0	c1	11112222	30000.0	ACTIVE
c1globalid	u	1578420000000	19000.0	c1	11112222	30000.0	ACTIVE
c1globalid	u	1578654000000	0.0	c1	11112222	30000.0	ACTIVE
c1globalid	u	1579078800000	0.0	c1	11112222	30000.0	CLOSED
c2globalid	c	1579163400000	0.0	c2	12123434	70000.0	PENDING
c2globalid	u	1579298400000	0.0	c2	12123434	70000.0	ACTIVE
c2globalid	u	1579361400000	37000.0	c2	12123434	70000.0	ACTIVE
id	op	ts	credit_used	card_id	card_number	monthly_limit	status
c1globalid	c	1577926800000	0.0	c1	11112222	30000.0	PENDING
c1globalid	u	1578159000000	0.0	c1	11112222	30000.0	ACTIVE
c1globalid	u	1578313800000	12000.0	c1	11112222	30000.0	ACTIVE
c1globalid	u	1578420000000	19000.0	c1	11112222	30000.0	ACTIVE
c1globalid	u	1578654000000	0.0	c1	11112222	30000.0	ACTIVE
c1globalid	u	1579078800000	0.0	c1	11112222	30000.0	CLOSED
c2globalid	c	1579163400000	0.0	c2	12123434	70000.0	PENDING
c2globalid	u	1579298400000	0.0	c2	12123434	70000.0	ACTIVE
c2globalid	u	1579361400000	37000.0	c2	12123434	70000.0	ACTIVE
id	op	ts	credit_used	card_id	card_number	monthly_limit	status
c1globalid	c	1577926800000	0.0	c1	11112222	30000.0	PENDING
c1globalid	u	1578159000000	0.0	c1	11112222	30000.0	ACTIVE
c1globalid	u	1578313800000	12000.0	c1	11112222	30000.0	ACTIVE
c1globalid	u	1578420000000	19000.0	c1	11112222	30000.0	ACTIVE
c1globalid	u	1578654000000	0.0	c1	11112222	30000.0	ACTIVE
c1globalid	u	1579078800000	0.0	c1	11112222	30000.0	CLOSED
c2globalid	c	1579163400000	0.0	c2	12123434	70000.0	PENDING
c2globalid	u	1579298400000	0.0	c2	12123434	70000.0	ACTIVE
c2globalid	u	1579361400000	37000.0	c2	12123434	70000.0	ACTIVE
